code,question
P0,ID
P1_A,IDADE
P1_B,GENERO
P1_C,COR RACA ETNIA
P1_D,PCD
P1_E,EXPERIENCIA PROFISSIONAL PREJUDICADA
P1_F,ASPECTOS PREJUDICADOS
P1_G,VIVE NO BRASIL
P1_I,ESTADO ONDE MORA
P1_J,MUDOU DE ESTADO?
P1_K,REGIAO DE ORIGEM
P1_L,NIVEL DE ENSINO
P1_M,ÁREA DE FORMAÇÃO
P2_A,QUAL SUA SITUAÇÃO ATUAL DE TRABALHO?
P2_B,SETOR
P2_C,NUMERO DE FUNCIONARIOS
P2_D,GESTOR?
P2_E,CARGO COMO GESTOR
P2_F,CARGO ATUAL
P2_G,NIVEL
P2_H,FAIXA SALARIAL
P2_I,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE DADOS VOCÊ TEM?
P2_J,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE TI ENGENHARIA DE SOFTWARE VOCÊ TEVE ANTES DE COMEÇAR A TRABALHAR NA ÁREA DE DADOS?
P2_K,VOCÊ ESTÁ SATISFEITO NA SUA EMPRESA ATUAL?
P2_L,QUAL O PRINCIPAL MOTIVO DA SUA INSATISFAÇÃO COM A EMPRESA ATUAL?
P2_M,VOCÊ PARTICIPOU DE ENTREVISTAS DE EMPREGO NOS ÚLTIMOS 6 MESES?
P2_N,VOCÊ PRETENDE MUDAR DE EMPREGO NOS PRÓXIMOS 6 MESES?
P2_O,QUAIS OS PRINCIPAIS CRITÉRIOS QUE VOCÊ LEVA EM CONSIDERAÇÃO NO MOMENTO DE DECIDIR ONDE TRABALHAR?
P2_Q,EMPRESA QUE TRABAHA PASSOU POR LAYOFF EM 2023
P2_R,ATUALMENTE QUAL A SUA FORMA DE TRABALHO?
P2_S,QUAL A FORMA DE TRABALHO IDEAL PARA VOCÊ?
P2_T,CASO SUA EMPRESA DECIDA PELO MODELO 100% PRESENCIAL QUAL SERÁ SUA ATITUDE?
P3_A,QUAL O NÚMERO APROXIMADO DE PESSOAS QUE ATUAM COM DADOS NA SUA EMPRESA HOJE?
P3_B,QUAIS DESSES PAPÉIS CARGOS FAZEM PARTE DO TIME (OU CHAPTER) DE DADOS DA SUA EMPRESA?
P3_C,QUAIS DESSAS RESPONSABILIDADES FAZEM PARTE DA SUA ROTINA ATUAL DE TRABALHO COMO GESTOR?
P3_D,QUAIS SÃO OS 3 MAIORES DESAFIOS QUE VOCÊ TEM COMO GESTOR NO ATUAL MOMENTO?
P3_E,AI GENERATIVA É UMA PRIORIDADE EM SUA EMPRESA?
P3_F,TIPOS DE USO DE AI GENERATIVA E LLMS NA EMPRESA
P3_G,MOTIVOS QUE LEVAM A EMPRESA A NÃO USAR AI GENRATIVA E LLMS
P4_A,"MESMO QUE ESSE NÃO SEJA SEU CARGO FORMAL, VOCÊ CONSIDERA QUE SUA ATUAÇÃO NO DIA A DIA, REFLETE ALGUMA DAS OPÇÕES LISTADAS ABAIXO?"
P4_B,QUAIS DAS FONTES DE DADOS LISTADAS VOCÊ JÁ ANALISOU OU PROCESSOU NO TRABALHO?
P4_C,"ENTRE AS FONTES DE DADOS LISTADAS, QUAIS VOCÊ UTILIZA NA MAIOR PARTE DO TEMPO?"
